category,token,initial_tier,ruby_box_direction,rationale,total_calls,file_count,primary_file_count,legacy_file_count,repo_call_counts,fixture_focus
global_io,respond,Preserve,Console/game IO capability,High-use public script IO and flow helper.,24070,959,200,759,dr-scripts:208;lich_repo_mirror:19288;scripts:4574,global_io_flow
global_io,fput,Preserve,Console/game IO capability,High-use public script IO and flow helper.,22861,1597,224,1373,dr-scripts:531;lich_repo_mirror:19528;scripts:2802,global_io_flow
global_io,echo,Preserve,Console/game IO capability,High-use public script IO and flow helper.,20512,1547,287,1260,dr-scripts:1585;lich_repo_mirror:15652;scripts:3275,global_io_flow
vars,UserVars.,Preserve,Settings capability scoped by script/character/game identity,Broad script-facing persistence surface.,11087,449,130,319,dr-scripts:485;lich_repo_mirror:8021;scripts:2581,settings_vars_identity
global_flow,get,Preserve,Console/game IO capability,High-use public script IO and flow helper.,8041,1491,272,1219,dr-scripts:733;lich_repo_mirror:6106;scripts:1202,global_io_flow
settings,CharSettings[,Preserve,Settings capability scoped by script/character/game identity,Broad script-facing persistence surface.,7421,267,57,210,dr-scripts:29;lich_repo_mirror:6034;scripts:1358,settings_vars_identity
global_flow,match,Preserve,Console/game IO capability,High-use public script IO and flow helper.,6417,576,164,412,dr-scripts:365;lich_repo_mirror:4751;scripts:1301,global_io_flow
global_io,put,Preserve,Console/game IO capability,High-use public script IO and flow helper.,6350,939,171,768,dr-scripts:325;lich_repo_mirror:4909;scripts:1116,global_io_flow
global_flow,pause,Preserve,Console/game IO capability,High-use public script IO and flow helper.,5337,784,201,583,dr-scripts:587;lich_repo_mirror:4433;scripts:317,global_io_flow
global_movement,out,Preserve,Command/game IO capability,Movement helpers are legacy script ergonomics from global_defs.rb.,5169,904,204,700,dr-scripts:344;lich_repo_mirror:3733;scripts:1092,global_io_flow
global_movement,up,Preserve,Command/game IO capability,Movement helpers are legacy script ergonomics from global_defs.rb.,3813,933,207,726,dr-scripts:370;lich_repo_mirror:2793;scripts:650,global_io_flow
global_movement,move,Preserve,Command/game IO capability,Movement helpers are legacy script ergonomics from global_defs.rb.,3561,484,134,350,dr-scripts:342;lich_repo_mirror:2746;scripts:473,global_io_flow
reflection_eval,send,Unsupported / Private for Box strict mode,Permissioned or denied reflection capability,"Legacy Ruby may allow it, but Box isolation should not expose private-core reach-through by default.",2564,431,122,309,dr-scripts:1009;lich_repo_mirror:1152;scripts:403,reflection_box_policy
script_class,Script.run,Preserve,Script manager / current-script capability,Core public Script control surface.,2495,356,66,290,lich_repo_mirror:2263;scripts:232,script_identity_lifecycle
global_lifecycle,start_script,Preserve,Script manager capability,Public lifecycle helper observed across scripts.,2433,505,65,440,dr-scripts:56;lich_repo_mirror:2111;scripts:266,script_identity_lifecycle
global_flow,clear,Preserve,Console/game IO capability,High-use public script IO and flow helper.,2115,512,124,388,dr-scripts:64;lich_repo_mirror:1418;scripts:633,global_io_flow
script_class,Script.current,Preserve,Script manager / current-script capability,Core public Script control surface.,2092,246,117,129,dr-scripts:12;lich_repo_mirror:792;scripts:1288,script_identity_lifecycle
settings,Settings[,Preserve,Settings capability scoped by script/character/game identity,Broad script-facing persistence surface.,2000,113,30,83,dr-scripts:36;lich_repo_mirror:1603;scripts:361,settings_vars_identity
global_flow,wait,Preserve,Console/game IO capability,High-use public script IO and flow helper.,1599,437,98,339,dr-scripts:105;lich_repo_mirror:1155;scripts:339,global_io_flow
global_movement,down,Preserve,Command/game IO capability,Movement helpers are legacy script ergonomics from global_defs.rb.,1557,457,103,354,dr-scripts:117;lich_repo_mirror:1200;scripts:240,global_io_flow
vars,Vars.,Preserve,Settings capability scoped by script/character/game identity,Broad script-facing persistence surface.,1462,175,13,162,lich_repo_mirror:1372;scripts:90,settings_vars_identity
global_flow,waitfor,Preserve,Console/game IO capability,High-use public script IO and flow helper.,1223,344,40,304,dr-scripts:83;lich_repo_mirror:1076;scripts:64,global_io_flow
global_io,multifput,Compat,Legacy compatibility shim,Observed corpus use; requires manual review before narrowing.,1174,219,27,192,lich_repo_mirror:921;scripts:253,manual_review
